topic,evidence_1,evidence_2,label,acceptance_rate,evidence_1_stance,evidence_2_stance,evidence_1_detection_score,evidence_2_detection_score,evidence_1_id,evidence_2_id,evidence_1_wikipedia_article_name,evidence_2_wikipedia_article_name,evidence_1_wikipedia_url,evidence_2_wikipedia_url
We should ban partial birth abortions,Thomas further noted that the gruesome nature of some partial-birth abortions has caused personal trauma in the doctors performing them.,"On June 24, 2008, Wilkinson authored a concurring opinion in Richmond Medical Center For Women v. Herring, which upheld the Virginia ban on partial-birth abortions.",1,0.71,PRO,PRO,0.5188626646995544,0.6734218001365662,70,82,Stenberg v. Carhart,J. Harvie Wilkinson III,https://en.wikipedia.org/wiki/Stenberg_v._Carhart,https://en.wikipedia.org/wiki/J._Harvie_Wilkinson_III
We should subsidize condoms,A 2006 study reports that proper condom use decreases the risk of transmission of human papillomavirus to women by approximately 70% [REF].,"In response to these findings, and to fight the spread of AIDS, the U.S. Surgeon General Dr. C. Everett Koop supported condom promotion programs.",1,0.88,PRO,PRO,0.9326057434082032,0.6809584498405457,1740,1771,Condom,History of condoms,https://en.wikipedia.org/wiki/Condom,https://en.wikipedia.org/wiki/History_of_condoms
We should legalize cannabis,A 2007 study of studies published in the Lancet concluded that cannabis users are 40% more likely to be sufferers of a psychotic illness than non-users [REF].,"Surprisingly, an extensive study published in 2006 by Donald Tashkin of the University of California, Los Angeles found that there is no significant link between smoking cannabis and lung cancer [REF].",1,0.63,CON,PRO,0.9705387353897096,0.7500514388084412,855,857,Long-term effects of cannabis,Cannabis-associated respiratory disease,https://en.wikipedia.org/wiki/Long-term_effects_of_cannabis,https://en.wikipedia.org/wiki/Cannabis-associated_respiratory_disease
We should legalize cannabis,"Proponents of fully decriminalizing cannabis to allow the regulated cultivation and sale of cannabis, including Law Enforcement Against Prohibition, argue that fully decriminalizing cannabis would largely decrease financial gains earned by gangs in black market cannabis sales and trafficking [REF].","Gonzales v. Raich (2005) held in a 6-3 decision that the Commerce Clause of the United States Constitution allowed the federal government to ban the use of cannabis, including medical use even if local laws allow it.",1,0.89,PRO,CON,0.6265594363212585,0.8645851612091064,836,864,Decriminalization of non-medical cannabis in the United States,Places that have decriminalized non-medical cannabis in the United States,https://en.wikipedia.org/wiki/Decriminalization_of_non-medical_cannabis_in_the_United_States,https://en.wikipedia.org/wiki/Places_that_have_decriminalized_non-medical_cannabis_in_the_United_States
We should legalize cannabis,The DPA believes that cannabis should be legal for medicinal purposes of severely ill individuals.,Some studies have suggested that cannabis users have a greater risk of developing psychosis than non-users.,1,0.78,PRO,CON,0.8113054633140564,0.9062711596488952,832,858,Drug Policy Alliance,Tetrahydrocannabinol,https://en.wikipedia.org/wiki/Drug_Policy_Alliance,https://en.wikipedia.org/wiki/Tetrahydrocannabinol
We should further exploit hydroelectric dams,"In 2008, the state government of Arunachal Pradesh signed deals with various Indian companies planning some 42 hydroelectric schemes that will produce electricity in excess of 27,000 MW [REF].","International Energy Agency Among sources of renewable energy, hydroelectric plants have the advantages of being long-lived-many existing plants have operated for more than 100 years.",2,0.7,PRO,PRO,0.6298320889472961,0.8150023221969604,3002,2969,Arunachal Pradesh,Sustainable energy,https://en.wikipedia.org/wiki/Arunachal_Pradesh,https://en.wikipedia.org/wiki/Sustainable_energy
We should introduce a flat tax,Jutta Urpilainen reiterated her claim that the incumbent government was furthering the establishment of a flat tax.,"In the United States, former House Majority Leader Dick Armey and FreedomWorks[REF] have sought support for the flat tax (Taxpayer Choice Act).",2,1.0,PRO,PRO,0.4055938124656677,0.3944830000400543,3615,3622,"Finnish parliamentary election, 2011",Flat tax,"https://en.wikipedia.org/wiki/Finnish_parliamentary_election,_2011",https://en.wikipedia.org/wiki/Flat_tax
We should increase government regulation,"The regulated expression of H19, from biallelic to monoallelic, throughout embryonic development suggests that regulation is essential for the growth of embryonic and extraembryonic tissues [REF].","And like most industries with pollution problems, chemical manufacturers oppose meddlesome government regulations that make it more difficult and expensive for them to do business.",2,0.67,PRO,CON,0.8577397465705872,0.6893123984336853,189,196,H19 (gene),California Green Chemistry Initiative,https://en.wikipedia.org/wiki/H19_(gene),https://en.wikipedia.org/wiki/California_Green_Chemistry_Initiative
We should legalize prostitution,"Farley is a leading proponent of the abolitionist view of prostitution[REF] holding that prostitution is inherently exploitive and traumatizing, and should therefore be abolished.",The PRC rejects the argument that prostitution is an unremarkable transaction between consenting individuals and that prohibition laws constitute a violation of civil liberties.,1,0.67,CON,PRO,0.7322061657905579,0.849384069442749,1589,1579,Melissa Farley,Prostitution in the People's Republic of China,https://en.wikipedia.org/wiki/Melissa_Farley,https://en.wikipedia.org/wiki/Prostitution_in_the_People's_Republic_of_China
We should introduce universal health care,"In April 2010, Koroma sign into law the country's free health care program for pregnant women, nursing mothers and children under the age of five [REF].","In 2010, Congress passed and President Barack Obama signed the Affordable Health Care for America Act to provide near universal health care coverage in the United States by 2014.",2,0.86,PRO,PRO,0.561864972114563,0.5987172722816467,3359,3316,Ernest Bai Koroma,Political positions of Ted Kennedy,https://en.wikipedia.org/wiki/Ernest_Bai_Koroma,https://en.wikipedia.org/wiki/Political_positions_of_Ted_Kennedy
We should increase gun control,"Lou Dobbs is pro-choice, opposes gun control and, though he is a fiscal conservative, supports some government regulations, as revealed in a 60 Minutes interview [REF].","Although the Brazilian Government, the Catholic Church, and the United Nations, argued in favor of a gun ban, it was argued successfully that guns are needed for personal security [REF].",2,0.86,CON,PRO,0.7779637575149536,0.7747042179107666,459,473,Lou Dobbs,Gun politics in Brazil,https://en.wikipedia.org/wiki/Lou_Dobbs,https://en.wikipedia.org/wiki/Gun_politics_in_Brazil
We should further exploit geothermal energy,"According to an estimate by the Centre for International Economics, Australia has enough geothermal energy to contribute electricity for 450 years [REF].",The HVAC system has been converted to using geo-thermal energy to help reduce dependence on foreign oil as well as save money.,1,0.7,PRO,PRO,0.7638316154479979,0.2924849689006805,1051,1042,Renewable energy in Australia,Newport School District (Pennsylvania),https://en.wikipedia.org/wiki/Renewable_energy_in_Australia,https://en.wikipedia.org/wiki/Newport_School_District_(Pennsylvania)
We should abolish the monarchy,"Ayatollah Khomeini, leader of the Islamic revolution and founder of the Islamic Republic of Iran and its first supreme leader declared that, ""The concept of monarchy totally contradicts Islam.""","From that point onward, the Emperor ceased to believe in the monarchy as a viable form of government for Brazil's future, as his remaining heir was a daughter.",2,0.63,PRO,PRO,0.6403242945671082,0.2072097212076187,4006,4053,Arab–Iran relations,Decline and fall of Pedro II of Brazil,https://en.wikipedia.org/wiki/Arab–Iran_relations,https://en.wikipedia.org/wiki/Decline_and_fall_of_Pedro_II_of_Brazil
We should introduce universal health care,"Greene advocated free universal health care, saying that the United States should model its system on Austria, Britain, or Canada [REF].","In April 2010, Koroma sign into law the country's free health care program for pregnant women, nursing mothers and children under the age of five [REF].",1,0.94,PRO,PRO,0.7295671701431274,0.561864972114563,3368,3358,Alvin Greene,Ernest Bai Koroma,https://en.wikipedia.org/wiki/Alvin_Greene,https://en.wikipedia.org/wiki/Ernest_Bai_Koroma
Holocaust denial should be a criminal offence,"The American Historical Association, the oldest and largest society of historians and teachers of history in the United States, states that Holocaust denial is ""at best, a form of academic fraud.""[REF]","János Kis[REF] and TASZ,[REF] in particular András Schiffer[REF] feel the work of Holocaust deniers should be protected by a universal right to free speech.",1,0.88,PRO,CON,0.6920158863067627,0.2582686245441437,3563,3560,Holocaust denial,Laws against Holocaust denial,https://en.wikipedia.org/wiki/Holocaust_denial,https://en.wikipedia.org/wiki/Laws_against_Holocaust_denial
We should end affirmative action,"According to a poll taken by USA Today in 2005, most Americans support affirmative action for women; with minority groups, it is more split [REF].","The Constitutional Court declared in October 2005 that affirmative action i.e. ""providing advantages for people of an ethnic or racial minority group"" as being against its Constitution [REF].",2,0.75,CON,PRO,0.5781677961349487,0.6868695020675659,2483,2468,Affirmative action,Affirmative action,https://en.wikipedia.org/wiki/Affirmative_action,https://en.wikipedia.org/wiki/Affirmative_action
We should legalize prostitution,"In a February 2002 National Security Presidential Directive, President George W. Bush wrote: ""The United States opposes prostitution and any related activities, including pimping, pandering, and/or maintaining brothels as contributing to the phenomenon of trafficking in persons.",Some commentators in China and overseas contend that the PRC's policy of banning prostitution is problematic because it hinders the task of developing measures to prevent the spread of HIV [REF].,1,0.63,CON,PRO,0.7637986540794373,0.8409126400947571,1598,1566,Anti-prostitution pledge,Prostitution in the People's Republic of China,https://en.wikipedia.org/wiki/Anti-prostitution_pledge,https://en.wikipedia.org/wiki/Prostitution_in_the_People's_Republic_of_China
We should legalize prostitution,"[REF] Ethnographical research on street prostitution, done by Alexandra Oliveira, of University of Porto [REF] has led the researcher to argue that prostitution should be legalized to improve the situation of the women [REF].","A report produced by the Australian Institute of Criminology in May 1990 recommended that prostitution not be a criminal offence, since the current laws were ineffective and endangered sex workers.",2,0.71,PRO,PRO,0.9225357174873352,0.8264715075492859,1583,1623,Prostitution in Portugal,Prostitution in Australia,https://en.wikipedia.org/wiki/Prostitution_in_Portugal,https://en.wikipedia.org/wiki/Prostitution_in_Australia
We should further exploit wind turbines,"In 2006, Romney opposed the Cape Wind offshore Cape Cod wind farm proposal[REF] because of its visual detriment to Nantucket, saying that Nantucket ""is a critical location for the state, and placing wind turbines there would be detrimental.""","In a 2008 study released by the U.S. Department of Energy's Office of Energy Efficiency and Renewable Energy, the capacity factor achieved by the wind turbine fleet is shown to be increasing as the technology improves.",2,0.8,CON,PRO,0.6365383267402649,0.8811728954315186,1499,1546,Political positions of Mitt Romney,Wind power,https://en.wikipedia.org/wiki/Political_positions_of_Mitt_Romney,https://en.wikipedia.org/wiki/Wind_power
We should introduce universal health care,"A 2008 survey of over two thousand doctors published in Annals of Internal Medicine, shows that physicians support universal health care and national health insurance by almost 2 to 1 [REF].","Tsongas advocates for universal health care and supports a public health insurance option, as long as it ""[is] self-sufficient, relying on the premiums it collects.""[REF]",1,1.0,PRO,PRO,0.8307879567146301,0.7287757396697998,3321,3348,Public opinion on health care reform in the United States,Niki Tsongas,https://en.wikipedia.org/wiki/Public_opinion_on_health_care_reform_in_the_United_States,https://en.wikipedia.org/wiki/Niki_Tsongas
We should introduce school vouchers,Jones also advocates school vouchers to give parents more choices of which schools to send their children [REF].,"In that campaign, Dewhurst stressed his interest in public education and opposition to school vouchers.",1,1.0,PRO,CON,0.827799916267395,0.4015000760555267,2750,2767,Vernon Jones,David Dewhurst,https://en.wikipedia.org/wiki/Vernon_Jones,https://en.wikipedia.org/wiki/David_Dewhurst
We should prohibit hydraulic fracturing,"A 2011 Cornell University study found that natural gas extracted by hydraulic fracturing may contribute as much to global warming as coal, or more so [REF].","On March 28, 2012 Ruffalo appeared on the Colbert report to discuss his continued opposition to fracking and promote www.waterdefense.org .",1,1.0,CON,PRO,0.8683285713195801,0.4081528186798096,2692,2658,Hydraulic fracturing in the United States,Mark Ruffalo,https://en.wikipedia.org/wiki/Hydraulic_fracturing_in_the_United_States,https://en.wikipedia.org/wiki/Mark_Ruffalo
We should introduce universal health care,"The report provides an action agenda for countries at all stages of development, and proposes ways that the international community can better support efforts in low-income countries to achieve universal coverage and improve population health outcomes [REF].","To tackle the problems of the perpetually increasing number of uninsured, and costs associated with the US health care system, President Barack Obama says he favors the creation of a universal health care system [REF].",2,0.86,PRO,PRO,0.7531660795211792,0.6064188480377197,3370,3360,World Health Report,Health systems by country,https://en.wikipedia.org/wiki/World_Health_Report,https://en.wikipedia.org/wiki/Health_systems_by_country
We should ban corporal punishment in the home,"In the United States, corporal punishment of children by their parents remains lawful in all 50 states.","Another 1983 law made the corporal punishment of children illegal, as it was in the other Nordic countries [REF].",1,0.63,CON,PRO,0.4970256686210632,0.4404516816139221,1655,1641,Child discipline,Social security in Finland,https://en.wikipedia.org/wiki/Child_discipline,https://en.wikipedia.org/wiki/Social_security_in_Finland
Sex education should be mandatory,"According to Schauer, the CWA's stance on sex education intends to teach children the ""dangers of sex outside of marriage and give them the tools to avoid promiscuity.""[REF] .","1990 IMIFAP develops its first program for parents, entitled ""Learning to be a Mom/Dad"" IMIFAP research shows that providing sexuality education programs before adolescents have sex increases the likelihood that they adopt safe sex practices.",2,0.89,PRO,PRO,0.8584862947463989,0.52456134557724,964,938,Concerned Women for America,Mexican Institute for Family and Population Research,https://en.wikipedia.org/wiki/Concerned_Women_for_America,https://en.wikipedia.org/wiki/Mexican_Institute_for_Family_and_Population_Research
We should adopt vegetarianism,"Marion Nestle, a professor in the Department of Nutrition and Food Studies at New York University, judging from research relating nutritional factors to chronic disease risks and to observations of exceptionally low chronic disease rates among people eating vegetarian, Mediterranean and Asian diets, has suggested that plant-based diets may be most associated with health and longevity [REF].","Although she had separated from McCartney, Mills said: ""It's only since I met Paul [McCartney] that I really got to understand how vegetarianism not only benefits your health massively but also makes a huge difference to the planet, to animals, and to feeding the world"" [REF].",1,1.0,PRO,PRO,0.8210052251815796,0.7583504915237427,3920,3939,Paleolithic diet,Heather Mills,https://en.wikipedia.org/wiki/Paleolithic_diet,https://en.wikipedia.org/wiki/Heather_Mills
We should subsidize biofuels,"Jean Ziegler, then UN Special Rapporteur on food, concluded that while the argument for biofuels in terms of energy efficiency and climate change are legitimate, the effects for the world's hungry of transforming wheat and maize crops into biofuel are ""absolutely catastrophic,"" and terms such use of arable land a ""crime against humanity.""","The US National Renewable Energy Laboratory (NREL) states that energy security is the number one driving force behind the US biofuels programme,[REF] and a White House ""Energy Security for the 21st Century"" paper makes it clear that energy security is a major reason for promoting biodiesel [REF].",1,0.88,CON,PRO,0.7492599487304688,0.9039110541343688,2043,2031,Food vs. fuel,Biodiesel,https://en.wikipedia.org/wiki/Food_vs._fuel,https://en.wikipedia.org/wiki/Biodiesel
We should adopt vegetarianism,"PCRM promotes a vegetarian or vegan diet, together with aerobic and weight-bearing exercises and exposure to sufficient sunlight for vitamin D production.","Some groups, such as PETA, promote vegetarianism as a way to offset poor treatment and working conditions of workers in the contemporary meat industry [REF].",2,0.8,PRO,PRO,0.8298595547676086,0.6389725208282471,3936,3901,Physicians Committee for Responsible Medicine,Vegetarianism,https://en.wikipedia.org/wiki/Physicians_Committee_for_Responsible_Medicine,https://en.wikipedia.org/wiki/Vegetarianism
We should abandon coal mining,The Anvil Hill Alliance includes community and environment groups in NSW opposed to the expansion of coal mines in his high conservation value region.,The Wyoming Mining Association (WMA) reports that the coal mining industry alone contributed over $1.15 billion to the state and local governments in 2009 [REF].,2,0.8,PRO,CON,0.4883298575878143,0.8181549906730652,388,397,Climate change in Australia,Environmental Issues in Wyoming,https://en.wikipedia.org/wiki/Climate_change_in_Australia,https://en.wikipedia.org/wiki/Environmental_Issues_in_Wyoming
We should ban male infant circumcision,"Finland's Ministry of Social Affairs and Health reported in 2004 that, ""some 500-1000 circumcisions are performed as a therapeutic measure annually in Finnish hospitals"",[REF] amounting to 710 nationwide cases in 2002 [REF].","In the Netherlands, the Royal Dutch Medical Association (KNMG) stated in 2010 that non-therapeutic male circumcision ""conflicts with the child's right to autonomy and physical integrity.""",2,0.78,CON,PRO,0.8083090782165527,0.9175626039505004,1864,1828,Prevalence of circumcision,Circumcision,https://en.wikipedia.org/wiki/Prevalence_of_circumcision,https://en.wikipedia.org/wiki/Circumcision
We should further exploit wind turbines,"Wind turbines are much more feasible for those living in rural areas[REF] and are one of the most cost-effective forms of renewable energy per kilowatt, approaching the cost of fossil fuels, and have quick paybacks [REF].","The wind turbines will help determine which source of renewable energy is the most efficient for the state of Connecticut to use, as well as provide energy for the school.",1,1.0,PRO,PRO,0.628967821598053,0.7610571384429932,1552,1535,Sustainable living,Marvelwood School,https://en.wikipedia.org/wiki/Sustainable_living,https://en.wikipedia.org/wiki/Marvelwood_School
We should legalize polygamy,Sudanese President Omar Hassan al-Bashir has encouraged multiple marriages to increase the population [REF].,"Early Church Fathers advocated against polygamy, abortion, infanticide, child abuse, homosexuality, transvestism, and incest [REF].",1,0.78,PRO,CON,0.6794291138648987,0.7008880376815796,2553,2550,Polygamy,Role of the Catholic Church in Western civilization,https://en.wikipedia.org/wiki/Polygamy,https://en.wikipedia.org/wiki/Role_of_the_Catholic_Church_in_Western_civilization
We should fight illegal immigration,"Craig, the principal sponsor of AgJOBS, continues to support amnesty for illegal immigrants who are ""trusted workers with a significant work history in American agriculture.""[REF]","George J. Borjas, an economist at Harvard University, has argued that illegal immigration may reduce the economic status of U.S. poor while benefiting middle class individuals and wealthier Americans [REF].",2,0.78,CON,PRO,0.592195987701416,0.9209821820259094,306,307,Larry Craig,Illegal immigration to the United States,https://en.wikipedia.org/wiki/Larry_Craig,https://en.wikipedia.org/wiki/Illegal_immigration_to_the_United_States
We should further exploit hydroelectric dams,"The U.S. electric power industry now relies on large, central power stations, including coal, natural gas, nuclear, and hydropower plants that together generate more than 95% of the nation's electricity.","In 2008, the state government of Arunachal Pradesh signed deals with various Indian companies planning some 42 hydroelectric schemes that will produce electricity in excess of 27,000 MW [REF].",2,0.67,PRO,PRO,0.841411292552948,0.6298320889472961,2990,3002,Renewable energy debate,Arunachal Pradesh,https://en.wikipedia.org/wiki/Renewable_energy_debate,https://en.wikipedia.org/wiki/Arunachal_Pradesh
We should adopt open source software,"Many open-source advocates argue that open-source software is inherently safer because any person can view, edit, and change code [REF].",There are many different reasons why open-source software is beneficial to a software project in finance.,1,0.75,PRO,PRO,0.8734474182128906,0.17567308247089386,3153,3151,Open-source software,Rmetrics,https://en.wikipedia.org/wiki/Open-source_software,https://en.wikipedia.org/wiki/Rmetrics
We should ban male infant circumcision,"Weiss, Quigley and Hayes carried a meta-analysis on circumcision and HIV in 2000[REF] and found as follows: ""Male circumcision is associated with a significantly reduced risk of HIV infection among men in sub-Saharan Africa, particularly those at high risk of HIV.","Lerman and Liao (2001) state that apart from its effects on UTI rates, ""Most of the other medical benefits of circumcision probably can be realized without circumcision as long as access to clean water and proper penile hygiene are achieved.""[REF] .",1,0.88,CON,PRO,0.8234250545501709,0.5475912690162659,1857,1887,Medical analysis of circumcision,Medical analysis of circumcision,https://en.wikipedia.org/wiki/Medical_analysis_of_circumcision,https://en.wikipedia.org/wiki/Medical_analysis_of_circumcision
We should subsidize condoms,"Armand Razafimahefa, former head of the Madagascar's Protestant Church, was quoted as saying: ""I am firmly opposed to the use of the condom as a means of fighting AIDS, because it promotes promiscuity.""[REF] .","A few, such as Belgian Cardinal Godfried Danneels, believe the Catholic Church should actively support condoms used to prevent disease, especially serious diseases such as AIDS [REF].",2,0.75,CON,PRO,0.7720954418182373,0.8712835311889648,1752,1757,Religion and AIDS,Condom,https://en.wikipedia.org/wiki/Religion_and_AIDS,https://en.wikipedia.org/wiki/Condom
We should subsidize biofuels,"In October 2008, Peter Brabeck-Letmathe, chairman and former chief executive of Nestlé, warned that the production of biofuels will further deplete the world's water supply.","According to the International Energy Agency, cellulosic ethanol biorefineries could allow biofuels to play a much bigger role in the future than organizations such as the IEA previously thought [REF].",1,0.67,CON,PRO,0.8446466326713562,0.8702111244201659,2067,2033,Water crisis,Renewable energy commercialization,https://en.wikipedia.org/wiki/Water_crisis,https://en.wikipedia.org/wiki/Renewable_energy_commercialization
Bullfighting should be banned,"In 2011, the government in Catalonia, a region in Spain, passed a motion to outlaw bull fighting which came into effect on January 1, 2012 [REF].",The campaign to ban bullfighting in Catalonia was strongly supported by animal rights groups and gained the backing of celebrities including Ricky Gervais and Pamela Anderson [REF].,1,0.78,PRO,PRO,0.5323042273521423,0.43233337998390203,1186,1190,Animal rights,Ban on bullfighting in Catalonia,https://en.wikipedia.org/wiki/Animal_rights,https://en.wikipedia.org/wiki/Ban_on_bullfighting_in_Catalonia
We should ban male infant circumcision,"Boyle et al. (2002) state that circumcision may result in psychological harm, including post-traumatic stress disorder (PTSD), citing a study reporting high rates of PTSD among Filipino boys after either ritual or medical circumcision [REF].","By the 1890s, hernia, bladder infections, kidney stones, insomnia, chronic indigestion, rheumatism, epilepsy, asthma, bedwetting, Bright's disease, erectile dysfunction, syphilis, insanity, and skin cancer had all been linked to the foreskin, and many physicians advocated universal circumcision as a preventive health measure.",1,0.88,PRO,CON,0.7513358592987059,0.8802098035812378,1858,1863,Circumcision,History of male circumcision,https://en.wikipedia.org/wiki/Circumcision,https://en.wikipedia.org/wiki/History_of_male_circumcision
We should introduce school vouchers,Leahy has consistently voted to uphold Social Security and has opposed school vouchers [REF].,Griffin campaigned against school vouchers and for reform of school funding in Ohio.,1,0.67,CON,CON,0.5812242031097412,0.5924263596534729,2758,2755,Patrick Leahy,John W. Griffin (politician),https://en.wikipedia.org/wiki/Patrick_Leahy,https://en.wikipedia.org/wiki/John_W._Griffin_(politician)
We should prohibit corporal punishment,The amendment banning corporal punishment had the support of President Chen Shui-bian and Prime Minister Frank Hsieh and was passed by a wide margin in the Legislative Yuan.,"The American Academy of Pediatrics also believes that corporal punishment polarizes the parent-child relationship, reducing the amount of spontaneous cooperation on the part of the child.",2,1.0,PRO,PRO,0.3671724200248718,0.9010391831398009,3434,3419,Corporal punishment in Taiwan,Corporal punishment in the home,https://en.wikipedia.org/wiki/Corporal_punishment_in_Taiwan,https://en.wikipedia.org/wiki/Corporal_punishment_in_the_home
We should prohibit corporal punishment,"A 2003 review of available research into parental punishment concluded that ""strong evidence exists that the use of physical punishment has a number of inherent risks regarding the physical and mental health and well-being of children"" [REF].","In June 1972, the Liverpool Education Committee banned all forms of corporal punishment in the city's schools, although both cane and slipper appear to have continued in common use throughout the seventies.",1,1.0,PRO,PRO,0.9548041820526124,0.5030582547187805,3409,3383,Corporal punishment in the home,Liverpool Collegiate School,https://en.wikipedia.org/wiki/Corporal_punishment_in_the_home,https://en.wikipedia.org/wiki/Liverpool_Collegiate_School
We should adopt socialism,"Hayek further argued that central economic planning - a mainstay of socialism - would lead to a ""total"" state with dangerous power.",Nyerere believed socialism was an attitude of mind that barred discrimination and entailed equality of all human beings [REF].,1,0.63,CON,PRO,0.6819133162498474,0.7136296629905701,3524,3521,Political philosophy,Julius Nyerere,https://en.wikipedia.org/wiki/Political_philosophy,https://en.wikipedia.org/wiki/Julius_Nyerere
We should adopt socialism,"As an economist, Williams is a proponent of free market economics and opposes socialist systems of government intervention [REF].",Nyerere believed socialism was an attitude of mind that barred discrimination and entailed equality of all human beings [REF].,2,0.78,CON,PRO,0.7201811075210571,0.7136296629905701,3516,3521,Walter E. Williams,Julius Nyerere,https://en.wikipedia.org/wiki/Walter_E._Williams,https://en.wikipedia.org/wiki/Julius_Nyerere
We should legalize prostitution,"Many people who support legal prostitution argue that prostitution is a consensual sex act between adults and a victimless crime, thus the government should not prohibit this practice.","The proponents of the abolitionist view hold that prostitution is a practice which ultimately leads to the mental, emotional and physical destruction of the women who engage in it, and, as such, it should be abolished.",2,0.86,PRO,CON,0.8571430444717407,0.8026291728019714,1565,1592,Prostitution law,Forced prostitution,https://en.wikipedia.org/wiki/Prostitution_law,https://en.wikipedia.org/wiki/Forced_prostitution
We should further exploit wind turbines,"In the 1890s a Danish scientist, Poul la Cour, constructed wind turbines to generate electricity, which was then used to produce hydrogen[REF] for experiments and light and the Askov Highschool.","The wind turbines will help determine which source of renewable energy is the most efficient for the state of Connecticut to use, as well as provide energy for the school.",2,0.71,PRO,PRO,0.6268923282623291,0.7610571384429932,1554,1535,History of wind power,Marvelwood School,https://en.wikipedia.org/wiki/History_of_wind_power,https://en.wikipedia.org/wiki/Marvelwood_School
Bullfighting should be banned,"A Portuguese television station also prohibited the broadcasting of bullfights in January 2008, because they are too violent for minors [REF].","In March 2009, Viana do Castelo, a city in northern Portugal, became the first city in that country to ban bullfighting.",1,0.78,PRO,PRO,0.3845301270484924,0.6963538527488708,1203,1216,Bullfighting,Bullfighting,https://en.wikipedia.org/wiki/Bullfighting,https://en.wikipedia.org/wiki/Bullfighting
We should introduce school vouchers,"The NEA has often opposed measures such as merit pay, school vouchers, weakening of teacher tenure, certain curricular changes, the No Child Left Behind Act, and many accountability reforms.","In May 1999, Mayor Giuliani advocated in favor of education vouchers, proposing to allocate several million dollars to allow poor children attending poor-performing public schools to attend private schools [REF].",2,0.8,CON,PRO,0.2318139374256134,0.823322057723999,2749,2735,National Education Association,Political positions of Rudy Giuliani,https://en.wikipedia.org/wiki/National_Education_Association,https://en.wikipedia.org/wiki/Political_positions_of_Rudy_Giuliani
We should further exploit wind power,"According to a study by the New York State Energy Research and Development Authority, wind energy produces 27% more jobs per kilowatt-hour than coal plants and 66% more jobs than natural gas plants.","The US Pacific Northwest has been identified as another region where wind energy is complemented well by existing hydropower, and there were ""no fundamental technical barriers"" to integrating up to 6,000 MW of wind capacity [REF].",1,1.0,PRO,PRO,0.9030541181564332,0.5664216876029968,1308,1281,Community wind energy,Intermittent energy source,https://en.wikipedia.org/wiki/Community_wind_energy,https://en.wikipedia.org/wiki/Intermittent_energy_source
We should legalize prostitution,"In a February 2002 National Security Presidential Directive, President George W. Bush wrote: ""The United States opposes prostitution and any related activities, including pimping, pandering, and/or maintaining brothels as contributing to the phenomenon of trafficking in persons.","On September 2, 2009, Cicilline submitted an ordinance to the City Council to ban indoor prostitution in the city, imposing a $500 fine and a potential 30-day prison sentence on violators [REF].",1,0.71,CON,CON,0.7637986540794373,0.8083139657974243,1598,1633,Anti-prostitution pledge,David Cicilline,https://en.wikipedia.org/wiki/Anti-prostitution_pledge,https://en.wikipedia.org/wiki/David_Cicilline
We should prohibit corporal punishment,"The American Academy of Pediatrics believes that corporal punishment possesses some negative side-effects and only limited benefits, and recommends the use of other forms of discipline to manage undesirable behavior [REF].","Principal Mr Shelton Perkins is a believer in using the strap, a form of corporal punishment, when other methods to instil discipline have failed [REF].",1,0.89,PRO,CON,0.945677936077118,0.2610290050506592,3377,3422,Corporal punishment in the home,The St. Michael School,https://en.wikipedia.org/wiki/Corporal_punishment_in_the_home,https://en.wikipedia.org/wiki/The_St._Michael_School
We should ban breast implants,"The long-term study of 25,000 women, Mortality among Canadian Women with Cosmetic Breast Implants (2006), reported that the ""findings suggest that breast implants do not directly increase mortality in women.""[REF] .","After investigating, the U.S. FDA has concluded ""the weight of the epidemiological evidence published in the literature does not support an association between fibromyalgia and breast implants.""[REF][REF].",1,0.89,CON,CON,0.9511387348175048,0.7469847798347473,1383,1373,Breast implant,Breast implant,https://en.wikipedia.org/wiki/Breast_implant,https://en.wikipedia.org/wiki/Breast_implant
We should prohibit corporal punishment,"Corporal punishment was linked with nine other negative outcomes, including increased rates of aggression, delinquency, mental health problems, problems in relationships with their parents, and likelihood of being physically abused.","Principal Mr Shelton Perkins is a believer in using the strap, a form of corporal punishment, when other methods to instil discipline have failed [REF].",1,1.0,PRO,CON,0.3947297334671021,0.2610290050506592,3423,3422,Corporal punishment in the home,The St. Michael School,https://en.wikipedia.org/wiki/Corporal_punishment_in_the_home,https://en.wikipedia.org/wiki/The_St._Michael_School
We should legalize polygamy,"In modern times a minority of Roman Catholic theologians have argued that polygamy, though not ideal, can be a legitimate form of Christian marriage in certain regions, in particular Africa [REF].","A 2005 report by the Alberta Civil Liberties Research Centre recommended that Canada decriminalize polygamy, stating: ""Criminalization is not the most effective way of dealing with gender inequality in polygamous and plural union relationships.",2,0.75,PRO,PRO,0.8563267588615417,0.8635582923889159,2552,2567,Polygamy,Polygamy in North America,https://en.wikipedia.org/wiki/Polygamy,https://en.wikipedia.org/wiki/Polygamy_in_North_America
